"url","http_status","response_time_ms","html_size_kb","main_context_visible","charts_visible","internal_links_visible","jsonld_present","canonical","robots","bad_tokens","result","notes"
"https://scholarshiptop.com/compare/states","200","2342","100.3","True","False","False","True","https://scholarshiptop.com/compare/states","none","none (script false positive)","PASS","Hub teaser only"
"https://scholarshiptop.com/compare/states/california-vs-texas","200","3432","151.9","True","False","True","True","https://scholarshiptop.com/compare/states/california-vs-texas","noindex, follow","none (script false positive)","PASS","Affordability bars + D5 link cluster"
"https://scholarshiptop.com/compare/universities","200","640","96.6","False","False","False","True","https://scholarshiptop.com/compare/universities","none","none (script false positive)","PASS","Hub teaser only"
"https://scholarshiptop.com/compare/universities/university-of-massachusetts-amherst-vs-university-of-south-florida","200","2807","272.5","True","False","True","True","https://scholarshiptop.com/compare/universities/university-of-massachusetts-amherst-vs-university-of-south-florida","noindex, follow","none (script false positive)","PASS","D9 rent/metro + D5 links; 272 KB HTML"
"https://scholarshiptop.com/scholarships/texas","200","11519","182.9","True","False","True","True","https://scholarshiptop.com/scholarships/texas","noindex, follow","none (script false positive)","PASS","Slowest route; state sidebar + links"
"https://scholarshiptop.com/scholarships/california","200","3661","182.4","True","False","True","True","https://scholarshiptop.com/scholarships/california","noindex, follow","none (script false positive)","PASS","Same pattern as Texas"
"https://scholarshiptop.com/scholarships/texas/tarleton-state-university","200","2817","178.9","True","False","True","True","https://scholarshiptop.com/scholarships/texas/tarleton-state-university","index, follow","none (script false positive)","PASS","University cost context + links"
"https://scholarshiptop.com/scholarships/california/california-state-university-northridge","200","2824","164.4","True","False","True","True","https://scholarshiptop.com/scholarships/california/california-state-university-northridge","index, follow","none (script false positive)","PASS","University cost context + links"
"https://scholarshiptop.com/providers/loyola-university-chicago","200","2024","296.5","True","False","True","True","https://scholarshiptop.com/providers/loyola-university-chicago","none","none (script false positive)","PASS","School context; no Stritch false match"
"https://scholarshiptop.com/providers/alamo-colleges-foundation","200","2222","281.9","False","False","False","True","https://scholarshiptop.com/providers/alamo-colleges-foundation","none","none (script false positive)","PASS","Foundation; no enrichment match expected"
"https://scholarshiptop.com/resources/medical-scholarships-guide","200","268","114","True","False","True","True","https://scholarshiptop.com/resources/medical-scholarships-guide","none","none (script false positive)","PASS","D11 planning sections live"
"https://scholarshiptop.com/resources/best-scholarships-texas-international-students","200","30981","153.4","True","False","True","True","https://scholarshiptop.com/resources/best-scholarships-texas-international-students","none","none (script false positive)","PASS","Slow outlier; state context + D2 links"
"https://scholarshiptop.com/resources/best-scholarship-websites","200","867","105.9","False","False","False","True","https://scholarshiptop.com/resources/best-scholarship-websites","none","none (script false positive)","PASS","Clean generic page"
"https://scholarshiptop.com/resources/how-to-find-scholarships","200","219","63","False","False","True","True","https://scholarshiptop.com/resources/how-to-find-scholarships","none","none (script false positive)","PASS","Clean generic page"
"https://scholarshiptop.com/essays/career-goals","200","241","78","True","False","True","True","https://scholarshiptop.com/essays/career-goals","none","none (script false positive)","PASS","D11 healthcare planning section"
"https://scholarshiptop.com/essays/financial-need","200","221","66.3","False","False","True","True","https://scholarshiptop.com/essays/financial-need","none","none (script false positive)","PASS","Clean generic page"
