source_name,input_path,exists,format,size_mb,estimated_rows,read_method,will_use_now,reason
propublica_nonprofit,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\02_local_normalized_sources\propublica_nonprofit\normalized\propublica_nonprofit.jsonl,true,jsonl,1.84,1293,stream JSONL; select organization identity and aggregate bands,yes,Build provider nonprofit context with strict name+state/EIN matching.
usaspending,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\usaspending_fy2025_thcgme_recipients\usaspending_fy2025_thcgme_recipients.jsonl,true,jsonl,0.11,130,stream JSONL; aggregate recipient award counts and totals,yes,Optional scoped public funding context when exact recipient/EIN joins exist.
openalex,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\02_local_normalized_sources\openalex\normalized\openalex.jsonl,true,jsonl,7.86,6754,stream JSONL; join by OpenAlex/ROR id or exact name+state,yes,Build institution research indicators.
ror,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\01_legacy_supabase_exports\ror\ror.jsonl.gz,true,jsonl.gz,30.61,all ROR rows; filtered to known ROR ids,stream gz JSONL; filter to known ROR ids,yes,Institution identity and homepage/type enrichment.
nih_reporter,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\nih_reporter\normalized\nih_reporter.jsonl,true,jsonl,8896.48,2503896,stream JSONL; aggregate by exact organization name+state,yes,"NIH aggregate-only project counts, latest year, and funding bands."
college_scorecard,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\03_newly_collected_sources\college_scorecard\normalized\college_scorecard.jsonl,true,jsonl,5.07,6322,reuse existing school_enrichment identity; source path recorded,yes,Strict school identity join foundation for research output.
cdc_svi,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\01_legacy_supabase_exports\cdc_svi\cdc_svi.jsonl.gz,true,jsonl.gz,1.80,3144,stream gz JSONL; aggregate county counts and state bands,yes,Neutral state social context.
adi,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\02_local_normalized_sources\adi\normalized\adi.jsonl,true,jsonl,557.55,524297,stream JSONL; aggregate latest block-group data to state level,yes,Neutral state-level ADI bands only.
county_health_rankings,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\01_legacy_supabase_exports\county_health_rankings\county_health_rankings.jsonl.gz,true,jsonl.gz,10.00,3143,stream gz JSONL; count state coverage only,yes,Neutral county health data availability context.
fbi_crime,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\02_local_normalized_sources\fbi_crime\normalized\fbi_crime.jsonl,true,jsonl,943.76,1794600,not re-read; existing state_affordability aggregate already live,no,Avoid reprocessing large raw public safety rows in D8.
census_acs,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\02_local_normalized_sources\census_acs\normalized\census_acs.jsonl,true,jsonl,40.90,35177,not re-read; existing state_affordability aggregate already live,no,State affordability already carries Census state context.
bls_metro,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\01_legacy_supabase_exports\bls_metro\bls_metro.jsonl.gz,true,jsonl.gz,37.79,legacy export,resolved only,no,"Optional city/rent follow-up, not needed for the three D8 outputs."
zillow_zori,C:\dev\adek\customer_package\medresidency_data_package_2026-05-29\04_data_deliverable\01_legacy_supabase_exports\zillow_zori\zillow_zori.jsonl.gz,true,jsonl.gz,2.93,legacy export,resolved only,no,"Optional city/rent follow-up, not needed for the three D8 outputs."
