source_type,source_id,locale,status,translated_title,translated_meta_title,translated_meta_description,quality_score,published_at,source_hash
"scholarship_category","arts","es","published","Becas Artes","Becas Artes 2026 – Solicita en línea","Explora becas de artes con plazos, importes, GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","29b4294132f2b509700d8036f460802108e2e4a8e719d6cbe84caac172218ecc"
"scholarship_category","arts","fr","published","Bourses Arts","Bourses Arts 2026 – Postuler en ligne","Parcourez les bourses arts : dates, montants, GPA et éligibilité.","90","2026-05-21T12:49:39.605Z","29b4294132f2b509700d8036f460802108e2e4a8e719d6cbe84caac172218ecc"
"scholarship_category","education","es","published","Becas Educación","Becas Educación 2026 – Solicita en línea","Explora becas de educación con plazos, importes, GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","176ce99136b475f721fb53bf63ad83eef585b4efbbb4d8b647f5822fd557f7fe"
"scholarship_category","education","fr","published","Bourses Éducation","Bourses Éducation 2026 – Postuler en ligne","Parcourez les bourses éducation : dates, montants, GPA et éligibilité.","90","2026-05-21T12:49:39.605Z","176ce99136b475f721fb53bf63ad83eef585b4efbbb4d8b647f5822fd557f7fe"
"scholarship_category","humanities","es","published","Becas Humanidades","Becas Humanidades 2026 – Solicita en línea","Explora becas de humanidades con plazos, importes, GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","6320d145d9f55094b0f16614ba2ffb2ceab2874b49a49bbd0fe0e121b40be652"
"scholarship_category","humanities","fr","published","Bourses Humanités","Bourses Humanités 2026 – Postuler en ligne","Parcourez les bourses humanités : dates, montants, GPA et éligibilité.","90","2026-05-21T12:49:39.605Z","6320d145d9f55094b0f16614ba2ffb2ceab2874b49a49bbd0fe0e121b40be652"
"scholarship_category","stem","es","published","Becas STEM","Becas STEM 2026 – Solicita en línea","Explora becas STEM con plazos, importes, requisitos de GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","da5e92c2fb06f0b50f9e4eedc6cb081a64ba597e3741e710a19e8e9e55246406"
"scholarship_category","stem","fr","published","Bourses STIM","Bourses STIM 2026 – Postuler en ligne","Parcourez les bourses STIM avec dates limites, montants, GPA et critères d’éligibilité. Trouvez des bourses auxquelles postuler aujourd’hui.","90","2026-05-21T12:49:39.605Z","da5e92c2fb06f0b50f9e4eedc6cb081a64ba597e3741e710a19e8e9e55246406"
"scholarship_category","medical","es","published","Becas Medicina","Becas Medicina 2026 – Solicita en línea","Explora becas de medicina y salud con plazos, importes, GPA y elegibilidad. Encuentra becas que puedas solicitar hoy.","90","2026-05-21T12:49:39.605Z","0a5e42dfd09d0a9ec4eee4583c1c959508dcaf13acd37db53f5073b433cd6d29"
"scholarship_category","medical","fr","published","Bourses Médecine","Bourses Médecine 2026 – Postuler en ligne","Parcourez les bourses médecine et santé : dates, montants, GPA et éligibilité.","90","2026-05-21T12:49:39.605Z","0a5e42dfd09d0a9ec4eee4583c1c959508dcaf13acd37db53f5073b433cd6d29"
