source_type,source_id,source_slug,locale,status,quality_score,translated_title,machine_model
"scholarship_detail","3b7d5037-fc7a-4edf-881c-2c4c5fd303f6","china-university-of-petroleum-scholarship-1461","es","published","90","China University of Petroleum Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","3b7d5037-fc7a-4edf-881c-2c4c5fd303f6","china-university-of-petroleum-scholarship-1461","fr","published","90","China University of Petroleum Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","7f58a469-34b8-49b3-9c89-75ae9e7c9ea1","creative-arts-scholarship-8932","es","published","90","Creative Arts Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","7f58a469-34b8-49b3-9c89-75ae9e7c9ea1","creative-arts-scholarship-8932","fr","published","90","Creative Arts Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","32a15d95-0f3f-4cf7-b1c2-8e047c2a363f","fintech-innovation-scholarship-8931","es","published","90","Fintech Innovation Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","32a15d95-0f3f-4cf7-b1c2-8e047c2a363f","fintech-innovation-scholarship-8931","fr","published","90","Fintech Innovation Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","50ee2625-8c3c-47db-9c10-2f045ff6e9a9","healthcare-scholarship-8928","es","published","90","Healthcare Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","50ee2625-8c3c-47db-9c10-2f045ff6e9a9","healthcare-scholarship-8928","fr","published","90","Healthcare Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","f8246610-59ff-4e22-9dc9-9e11a7dc1c5e","vice-chancellor-s-scholarship-2905","es","published","90","Vice-Chancellor's Scholarship","stage5e-scholarship-manual-pilot-2"
"scholarship_detail","f8246610-59ff-4e22-9dc9-9e11a7dc1c5e","vice-chancellor-s-scholarship-2905","fr","published","90","Vice-Chancellor's Scholarship","stage5e-scholarship-manual-pilot-2"
