id,title,reason,missing_fields
009f117c-1b2e-424a-9552-980d4c7f600c,CINTAS Foundation Brandon Fradd Fellowship in Music Composition,missing:provider_name,provider_name
00b1c6d3-77b3-41e9-aff3-a2bd47c8794e,Asian Development Bank-Japan Scholarship Program (ADB-JSP),garbage_phrase,
00e980ea-3793-4581-a957-38702f9be1e5,John E. Warriner Scholarship,garbage_phrase,
00ef810e-0d65-4de4-8eb9-22af2f450920,Jean Roebuck Lovelace Nursing Scholarship Guide,missing:provider_name,provider_name
00f9fd8b-d1d4-43c3-9b73-ad0f1f4a7f91,"Step-Up Spring Scholarship: Eligibility, Deadline & How to Apply",missing:provider_name,provider_name
011543c9-3126-4d48-8bd3-31ca631035d9,West Virginia PROMISE Scholarships,missing:provider_name,provider_name
011828a5-219e-43b9-82b7-29230137e7df,York County Hispanic Coalition Scholarship,missing:provider_name,provider_name
011e80d8-6f85-4608-8683-00497e97e5c9,Rapid Formations Entrepreneur Scholarship,garbage_phrase,
01228891-837d-4c33-b639-ce9b1d0d2342,Lois Crowe Scholarship,missing:provider_name,provider_name
01655932-6fe4-4944-adc6-2890daf8e315,Renewed Horizons Scholarship,garbage_phrase,
01798039-7e34-4af5-b956-71f78c745950,UT Austin Acacia Man of Faith Scholarship,missing:provider_name,provider_name
01aed17d-3640-4bbb-90fb-20333c2c431a,"Emerald Creek Capital $10,000 NYC Scholarship",missing:provider_name,provider_name
01e089f4-b10e-4f7e-b0b3-d66bdddb28f3,AALA Gene Henson Scholarship: Eligibility & Deadline,missing:provider_name,provider_name
023c71e7-2dc4-4df1-8da0-b70ab5588f78,GTE Foundation Scholarship,missing:provider_name,provider_name
024e7016-2909-42e9-a98f-508ac7fcd618,Business School International Excellence Scholarships (International applicants),garbage_phrase,
02996e4a-1ed2-4040-9cab-ed4d0fe3bdd6,The Clélia Haji-Ioannou Scholarships,garbage_phrase,
02a1456f-5235-4a72-b98f-9b7dddbd25e2,The AW Bridal Scholarship,missing:provider_name,provider_name
02aa2ef1-0fad-4860-a343-02e7abc2e8ff,CIA Graduate Program Scholarship Guide 2026,missing:provider_name,provider_name
02c8c0d5-82f8-4903-ad39-2f0974da5d39,Global Citizen Scholarship,garbage_phrase,
02e17692-0c07-4f5d-aab5-a5d023b4e93a,Horatio Alger Undergraduate Scholarship,missing:provider_name,provider_name
02eb0dc7-6d22-4aab-982a-e7faecce92fb,Distinguished Raven FAC Memorial Scholarship,missing:provider_name,provider_name
032611e1-b8a3-4ee1-97a7-6f457faa8596,American Association of University Women (AAUW) San Jose Local Scholarship,missing:provider_name,provider_name
0331175f-3c20-4424-9085-ad6e40cabb80,Sikh Education Fund Scholarship,missing:provider_name,provider_name
033824a4-7779-4552-aae2-c75070fcb083,Frank Palmer Awards by the Department of English Language and Applied Linguistics,garbage_phrase,
033a3250-86f0-4533-acad-8eef97408798,Dare Greatly Foundation Scholarship Guide,missing:provider_name,provider_name
03638c23-6c9a-4978-a718-cec5f9b7f37d,MK Library Fall Scholarship Fund,missing:provider_name,provider_name
037bd32c-5d4d-44fb-bac1-b0b0d8d0eb94,Aggie Pride Network Scholarship,missing:provider_name,provider_name
03a31858-5428-4d25-9590-191bca62754a,Citi Tuition Program Scholarship Overview,missing:provider_name,provider_name
03bcca74-3dba-4b5e-bd57-c9a71540a01e,Siebenthal and Block Scholarship Program,missing:provider_name,provider_name
03ca635b-5577-44bb-be3f-5d97466774ce,Cure Cancer Support Scholarship,missing:provider_name,provider_name
03d85b0d-9e93-43e7-b95a-dd4a6cfefdb6,ANSWER Scholarship,missing:provider_name,provider_name
03f48988-4d1a-40d9-855f-3a6cb9481ff1,Hopi Tribe Grants and Scholarships Program,missing:provider_name,provider_name
04126bde-be24-4b57-9529-a971f08c3dd5,Ralph and Jean Cuca Scholarship,missing:provider_name,provider_name
0441ff63-bd2b-42d4-acb8-968532e39d34,Federation of Houston Professional Women Educational Foundation,missing:provider_name,provider_name
048a66be-5fb9-402b-9a45-cdc817832094,Incoming Study Abroad International Travel Grant,garbage_phrase,
04c401e0-3b77-4b41-bef2-fe39dcc5c1c5,North Dakota State Fair Foundation Chevron Scholarship,missing:provider_name,provider_name
04e37494-f494-48b9-8f06-1eb7b354e396,AICPA Scholarship for Minority Accounting Students,missing:provider_name,provider_name
04f02d1f-490e-4383-bd10-3668534ee0e9,South Carolina Law Enforcement Officers Association Scholarships,missing:provider_name,provider_name
052757a9-b255-4e5f-98c0-0ee3cbcc47e7,Long Island Music Hall of Fame Student Scholarships,missing:provider_name,provider_name
05310d0d-6566-426f-9581-59a0440e3426,Pauline & Sanford Saunders Scholarship,missing:provider_name,provider_name
05455c3b-6a69-4fe6-b88e-961feb1c5920,COMTO Philadelphia Scholarship Program Guide,missing:provider_name,provider_name
05483d4c-ea98-43c0-9938-d3004c4bfbc9,WRA's Buzzi Water Resources Scholarship,missing:provider_name,provider_name
0548c939-ab69-48ab-afe8-835564d3696f,SPC Network Scholarship Fund Eligibility and Deadline,missing:provider_name,provider_name
05492610-756b-4d49-8c8f-396a9291a0b8,Early Bird Bursary,garbage_phrase,
05521209-ef7c-4836-8fe1-8b8130ad2e6c,The Jimmie Crutchfield Memorial Scholarship,missing:provider_name,provider_name
055bf57d-57f1-43ef-8318-6d1a242b0e32,Twins Days Festival Twins Scholarship,missing:provider_name,provider_name
05b5478a-c4a1-4c39-863d-73aae79818f2,Gabby Matthes Memorial Scholarship,missing:provider_name,provider_name
05f8ec2f-5d26-4890-b2c9-8cd20d755b36,S.W.A.G. Scholarship,missing:provider_name,provider_name
060154c9-efea-4813-92f2-cefa06f7aa9d,Chicago Engineers' Foundation Incentive Award,missing:provider_name,provider_name
0606a1af-63ef-453f-b5d9-e2f32b3210d1,AAUW International Project Grants,missing:provider_name,provider_name
061f7ed5-f468-4127-a546-5b6d82f4f587,Urban Empowerment Educational Advancement Grant,missing:provider_name,provider_name
062cc8bf-383c-4c27-9d41-21e8ac1c9111,Postdoc Fellowship - Nanotechnology Research Network,missing:deadline,deadline
0670b83d-5fe5-40dc-8221-1b87edd0ee33,GRCF Patricia & Armen Oumedian Scholarship,missing:provider_name,provider_name
068d0cf7-6a81-4351-8427-a2189135276c,New England Polish-American Women's Scholarship,missing:provider_name,provider_name
06a25ab1-51a5-4aeb-a94e-5efe971269ae,Musical Merit Foundation of Greater San Diego Scholarship Awards,missing:provider_name,provider_name
06ac057c-84d1-42cb-b825-c37d65fa88d7,William Ray Judah Scholarship,missing:provider_name,provider_name
06b18742-9bdd-4284-9820-2fb5d34ccff5,Janice and Earle O’Born Family Foundation Graduate Scholarship,garbage_phrase,
06b87aa3-0a15-4c5c-bc9d-4cd1dd6993eb,Scholarship for degree and exchange study in Estonia,garbage_phrase,
06b98167-6a4b-439e-b5c8-060fa027c138,NESS NextGen Scholarship USA 2026 Apply,missing:provider_name,provider_name
06beac00-1fbb-4377-b3b6-112e1883ccd3,Excellence Scholarships,garbage_phrase,
06c14799-bf2e-4c51-bda8-6be378d45ac0,The Morgan Jayne Hill Memorial Scholarship,missing:provider_name,provider_name
06c26437-1e53-4562-9944-416aa39b182c,The Vice Chancellor’s Postgraduate International Excellence Award,garbage_phrase,
06cb2d94-1e26-4e54-9a45-25ca6a4a7ec8,Dr. Emma Lerew Scholarship,garbage_phrase,
06dee395-7167-4d5f-af5c-ea78ae9cfc2f,Sinclair Cummings Veterinary and Animal Sciences Scholarship,garbage_phrase,
06f44c1f-8916-49c9-bcf5-645832c47ed0,Ohio Reach Scholarship Eligibility and Deadline Guide,missing:provider_name,provider_name
06f907aa-ffe3-4dfe-bdb4-cf9cd9081129,Nan C. & Mark Hillis Scholarship,garbage_phrase,
0704a894-fa68-4a77-8098-f494c96b3777,Student Civic Leadership Awards,missing:provider_name,provider_name
071ea2ee-d187-4cde-860d-b3bdd9ba5f4f,John and Abigail Adams Scholarship Guide,missing:provider_name,provider_name
074607d4-57fc-47a6-96a8-aef7fa39e7cc,IHLA Educational Foundation Scholarship Program,missing:provider_name,provider_name
07475a51-c078-45c5-b8b3-6f8ca5430566,Lawson Internship in Public Service,garbage_phrase,
075f63ec-4344-46ec-8290-2c849e887669,International Academic Excellence at University of Mississippi,missing:deadline,deadline
0766722a-9fb2-4891-bdb0-eccab8d0d75a,Paul M. Bishop and Family Endowed Award,garbage_phrase,
076e7718-7e60-4dd8-8f1e-1a53fade9475,Colgate-Palmolive Haz La U Scholarship,missing:provider_name,provider_name
